epoch,user_idx,global_idx,self_gmm_clean,fedrn_final_clean,is_actual_clean,original_label,noisy_label,score_stage
150,0,9991,1,1,1,2,2,fedrn_neighbor_fusion
150,0,28124,1,1,1,2,2,fedrn_neighbor_fusion
150,0,14675,0,1,1,2,2,fedrn_neighbor_fusion
150,0,41763,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42,1,1,1,2,2,fedrn_neighbor_fusion
150,0,9986,1,1,1,2,2,fedrn_neighbor_fusion
150,0,34735,1,1,1,2,2,fedrn_neighbor_fusion
150,0,271,1,1,1,2,2,fedrn_neighbor_fusion
150,0,19637,1,1,1,2,2,fedrn_neighbor_fusion
150,0,41891,1,1,1,2,2,fedrn_neighbor_fusion
150,0,49450,1,1,1,2,2,fedrn_neighbor_fusion
150,0,34928,1,1,1,2,2,fedrn_neighbor_fusion
150,0,26999,1,1,1,2,2,fedrn_neighbor_fusion
150,0,20005,1,1,1,2,2,fedrn_neighbor_fusion
150,0,27049,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42947,1,1,1,2,2,fedrn_neighbor_fusion
150,0,383,1,1,1,2,2,fedrn_neighbor_fusion
150,0,49395,1,1,1,2,2,fedrn_neighbor_fusion
150,0,34663,1,1,1,2,2,fedrn_neighbor_fusion
150,0,27884,1,1,1,2,2,fedrn_neighbor_fusion
150,0,5340,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35387,1,1,1,2,2,fedrn_neighbor_fusion
150,0,4647,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42832,1,1,1,2,2,fedrn_neighbor_fusion
150,0,10083,1,1,1,2,2,fedrn_neighbor_fusion
150,0,20019,1,1,1,2,2,fedrn_neighbor_fusion
150,0,43010,1,1,1,2,2,fedrn_neighbor_fusion
150,0,49683,1,1,1,2,2,fedrn_neighbor_fusion
150,0,28051,1,1,1,2,2,fedrn_neighbor_fusion
150,0,14658,1,1,1,2,2,fedrn_neighbor_fusion
150,0,15289,1,1,1,2,2,fedrn_neighbor_fusion
150,0,26765,1,1,1,2,2,fedrn_neighbor_fusion
150,0,5343,1,1,1,2,2,fedrn_neighbor_fusion
150,0,34827,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35337,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35140,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35347,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35310,1,1,1,2,2,fedrn_neighbor_fusion
150,0,26762,1,1,1,2,2,fedrn_neighbor_fusion
150,0,14619,1,1,1,2,2,fedrn_neighbor_fusion
150,0,15369,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42639,0,1,1,2,2,fedrn_neighbor_fusion
150,0,49881,1,1,1,2,2,fedrn_neighbor_fusion
150,0,20102,1,1,1,2,2,fedrn_neighbor_fusion
150,0,19977,1,1,1,2,2,fedrn_neighbor_fusion
150,0,4771,1,1,1,2,2,fedrn_neighbor_fusion
150,0,28176,1,1,1,2,2,fedrn_neighbor_fusion
150,0,35022,0,0,1,2,2,fedrn_neighbor_fusion
150,0,42696,1,1,1,2,2,fedrn_neighbor_fusion
150,0,14785,0,1,1,2,2,fedrn_neighbor_fusion
150,0,34600,0,1,1,2,2,fedrn_neighbor_fusion
150,0,283,1,1,1,2,2,fedrn_neighbor_fusion
150,0,28227,1,1,1,2,2,fedrn_neighbor_fusion
150,0,49730,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42839,1,1,1,2,2,fedrn_neighbor_fusion
150,0,19914,1,1,1,2,2,fedrn_neighbor_fusion
150,0,42990,1,1,1,2,2,fedrn_neighbor_fusion
150,0,303,1,1,1,2,2,fedrn_neighbor_fusion
150,0,15398,1,1,1,2,2,fedrn_neighbor_fusion
150,0,6,1,1,1,2,2,fedrn_neighbor_fusion
150,0,5384,0,0,1,2,2,fedrn_neighbor_fusion
150,0,4732,1,1,1,2,2,fedrn_neighbor_fusion
150,0,26957,1,1,1,2,2,fedrn_neighbor_fusion
150,0,356,1,1,1,2,2,fedrn_neighbor_fusion
